date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
8/11/2014 7:46,2,3,66,348,48862,2234.2641,12,0,1,9,8/27/2014,8/31/2014,2,0,1,8250,1,1,3,2,50,628,1
8/11/2014 8:24,2,3,66,348,48862,2234.2641,12,0,0,9,8/29/2014,9/2/2014,2,0,1,8250,1,0,1,2,50,628,1
7/16/2014 9:55,2,3,66,189,10067,0,501,0,0,2,8/1/2014,8/2/2014,2,0,1,8267,1,0,1,2,50,675,70
1/17/2014 6:24,2,3,66,318,22418,420.6642,756,0,1,9,4/17/2014,4/20/2014,2,0,1,8291,1,0,5,2,50,191,18
2/27/2014 17:44,2,3,66,318,52078,0,756,0,1,4,4/17/2014,4/19/2014,2,0,1,8291,1,1,1,2,50,191,2
2/27/2014 18:01,2,3,66,318,52078,0,756,0,1,4,4/18/2014,4/20/2014,2,0,1,8291,1,1,1,2,50,191,2
12/30/2014 9:56,2,3,66,318,21655,0,756,0,1,2,2/6/2015,2/8/2015,1,0,1,12193,6,1,1,2,50,406,94
11/10/2014 12:38,2,3,66,318,48382,1753.2617,776,0,1,9,1/22/2015,1/24/2015,1,0,1,8250,1,0,1,2,50,628,24
6/15/2013 15:10,30,4,195,548,56440,0,1048,0,1,9,9/7/2013,9/15/2013,2,0,1,1385,1,0,1,0,185,185,58
6/15/2013 15:38,30,4,195,548,56440,0,1048,0,1,9,9/6/2013,9/14/2013,2,0,1,1385,1,1,1,0,185,185,58
11/22/2014 16:55,30,4,195,991,47725,0,1048,0,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,1,1,3,151,69,46
11/22/2014 16:59,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,0,2,3,151,69,30
11/22/2014 17:02,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,0,1,3,151,69,36
11/22/2014 19:56,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,0,1,3,151,69,46
11/22/2014 20:55,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,1,1,3,151,1197,5
11/22/2014 21:00,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,0,1,3,151,1197,29
11/22/2014 21:01,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,1,1,3,151,69,59
11/22/2014 21:15,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,0,1,3,151,69,81
11/22/2014 22:06,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,1,1,3,151,69,29
11/22/2014 22:20,30,4,195,991,47725,0,1048,1,0,9,6/26/2015,6/28/2015,2,0,1,8803,1,1,2,3,151,69,36
