srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff
2,11/5/2012 21:28,15,55,NULL,NULL,98,3105,3,2,0,3.09,0.0931,4.28,164.59,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,6399,3,0,0,3.09,0.3206,3.62,54.33,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,7374,4,3.5,0,2.83,0.2257,4.13,105.47,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,1,0,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,7771,3,4.5,0,3.81,NULL,3.54,51.13,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,12938,3,0,0,2.94,NULL,3.88,33.56,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,25579,3,4,0,3,0.3602,4.19,59.12,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,26540,3,3.5,0,2.83,0.3418,4.05,68.71,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,27090,4,0,0,2.56,NULL,4.68,124.64,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,1,0,122,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,30434,4,3.5,0,1.79,0.0453,4.97,95.88,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,37331,3,4,0,2.77,NULL,3.99,68.71,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,1,0,20,-1,0,5,NULL,NULL,NULL,-1,0,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,78858,4,4.5,1,1.79,0.036,4.97,174.18,1,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,91899,3,3,0,2.94,0.2163,4.28,68.71,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,11/5/2012 21:28,15,55,NULL,NULL,98,131173,4,5,0,1.61,0.0265,4.97,124.64,0,13085,2,57,2,0,1,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,6/5/2013 17:56,5,219,NULL,NULL,219,4610,4,4.5,1,3,0.0062,0,275,0,10797,1,21,4,0,2,0,NULL,23.85,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL
3,6/5/2013 17:56,5,219,NULL,NULL,219,5541,5,4.5,0,0,NULL,0,460,0,10797,1,21,4,0,2,0,NULL,26.19,1,NULL,NULL,NULL,0,0,NULL,0,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL
3,6/5/2013 17:56,5,219,NULL,NULL,219,9253,5,5,1,3,NULL,0,525,0,10797,1,21,4,0,2,0,NULL,23.68,1,NULL,NULL,NULL,NULL,NULL,NULL,1,1,4,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL
